Open in LibreOffice

sink_max,source_max,repeat_max,best_auc,best_r1,,sink_max,source_max,repeat_max,,sink_max,source_max,repeat_max
56,155,73,0.788525,0.235246 #it_1: bioportal 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
6,227,1,0.749158,0.118687 #it_1: dbsnp 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
13,262,20,0.746622,0.0929054 #it_1: drugbank 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
6,487,25,0.766497,0.0846024 #it_1: omim 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
8,353,7,0.752101,0.0848739 #it_1: pharmgkb 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
50,160,70,0.785,0.275 #it_2: bioportal 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
9,246,3,0.776683,0.109195 #it_2: dbsnp 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
16,276,22,0.75873,0.111905 #it_2: drugbank 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
9,470,19,0.738173,0.0685155 #it_2: omim 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
6,364,8,0.736885,0.0893443 #it_2: pharmgkb 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
53,137,87,0.757475,0.228405 #it_3: bioportal 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
7,205,2,0.756219,0.126036 #it_3: dbsnp 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
14,267,25,0.774542,0.102329 #it_3: drugbank 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
7,451,14,0.752144,0.0711835 #it_3: omim 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
6,400,9,0.734219,0.083887 #it_3: pharmgkb 4000triples 2part,,17.7333333333333,297.333333333333,25.6666666666667,,18.5490341168123,116.815279496346,27.7943125391475
,,,,,,,,,,,,
sink_max,source_max,repeat_max,best_auc,best_r1,,,,,,,,
2.06300050049414,-1.21844791149761,1.70298629500786,0.788525,0.235246 #it_1: bioportal 4000triples 2part,,,,,,,,
-0.632557644750817,-0.602090185775168,-0.887471731201281,0.749158,0.118687 #it_1: dbsnp 4000triples 2part,,,,,,,,
-0.255179504416523,-0.302471846882312,-0.203878640951646,0.746622,0.0929054 #it_1: drugbank 4000triples 2part,,,,,,,,
-0.632557644750817,1.62364604600033,-0.0239857224649,0.766497,0.0846024 #it_1: omim 4000triples 2part,,,,,,,,
-0.524735318941018,0.476535834239114,-0.671600229017186,0.752101,0.0848739 #it_1: pharmgkb 4000triples 2part,,,,,,,,
1.73953352306475,-1.17564529165578,1.59505054391582,0.785,0.275 #it_2: bioportal 4000triples 2part,,,,,,,,
-0.470824156036119,-0.439440230376189,-0.815514563806583,0.776683,0.109195 #it_2: dbsnp 4000triples 2part,,,,,,,,
-0.093446015701825,-0.182624511325169,-0.131921473556947,0.75873,0.111905 #it_2: drugbank 4000triples 2part,,,,,,,,
-0.470824156036119,1.47811713853809,-0.239857224648995,0.738173,0.0685155 #it_2: omim 4000triples 2part,,,,,,,,
-0.632557644750817,0.570701597891154,-0.635621645319836,0.736885,0.0893443 #it_2: pharmgkb 4000triples 2part,,,,,,,,
1.90126701177944,-1.37253734292823,2.20668646677075,0.757475,0.228405 #it_3: bioportal 4000triples 2part,,,,,,,,
-0.578646481845918,-0.790421713079248,-0.851493147503932,0.756219,0.126036 #it_3: dbsnp 4000triples 2part,,,,,,,,
-0.201268341511624,-0.259669227040475,-0.0239857224649,0.774542,0.102329 #it_3: drugbank 4000triples 2part,,,,,,,,
-0.578646481845918,1.31546718313911,-0.419750143135741,0.752144,0.0711835 #it_3: omim 4000triples 2part,,,,,,,,
-0.632557644750817,0.878880460752378,-0.599643061622487,0.734219,0.083887 #it_3: pharmgkb 4000triples 2part,,,,,,,,
